time,host,seq_num,status_data,status_new,single_ts_rtt,single_ts_rtt_new,all_ts_rtt,all_ts_rtt_new,total_state,vec_ne_zero,vec_ne_zero_new
22.96513392,server,4215703266,0.0000,0,0.0000,1,0.0000,0,3,0.0000,0
22.98118232,client,1774343153,0.0000,0,.4000,1,0.0000,0,5,0.0000,0
23.16538158,server,4215716315,0.0000,0,.2002,1,.1958,1,5,23.1654,1
23.18103722,client,1774343153,0.0000,0,.1999,1,.1999,1,6,23.1810,1
23.36530340,server,4215745275,.1999,1,.1999,1,.1997,1,5,.1999,1
23.38092484,client,1774343153,.1999,1,.1999,1,.1999,1,5,.1999,1
23.56518667,server,4215803195,.1999,1,.1999,1,.1999,1,7,.1999,1
23.57608186,client,1774343153,.1952,1,.1952,1,.1951,1,8,.1952,1
23.59590454,client,1774343153,.1952,0,.1952,0,.2101,1,13,.1952,0
23.76028024,server,4215919035,.1951,1,.1951,1,.1951,1,12,.1951,1
23.77105581,client,1774343153,.1949,1,.1949,1,.1949,1,13,.1949,1
23.78006090,server,4216102931,.1951,0,.1951,0,.2050,1,14,.1951,0
23.78152117,client,1774343153,.1949,0,.1949,0,.2005,1,14,.1949,0
23.79087056,client,1774343153,.1949,0,.1949,0,.2048,1,16,.1949,0
23.80103045,client,1774343153,.1949,0,.1949,0,.2102,1,17,.1949,0
23.81106822,client,1774343153,.1949,0,.1949,0,.2152,1,18,.1949,0
23.95524170,server,4216150715,.1949,1,.1949,1,.1949,1,21,.1949,1
23.96580499,server,4216270899,.1949,0,.1949,0,.2005,1,22,.1949,0
23.97112874,client,1774343153,.2001,1,.2001,1,.2001,1,23,.2001,1
23.97114344,client,1774343153,.2001,0,.2001,0,.1936,1,23,.2001,0
23.97507557,server,4216336059,.1949,0,.1949,0,.2050,1,23,.1949,0
23.98530746,server,4216409907,.1949,0,.1949,0,.2103,1,26,.1949,0
23.99126773,client,1774343153,.2001,0,.2001,0,.2097,1,28,.2001,0
23.99525049,server,4216490995,.1949,0,.1949,0,.2152,1,28,.1949,0
24.00099204,client,1774343153,.2001,0,.2001,0,.2152,1,30,.2001,0
24.00583889,client,1774343153,.2001,0,.2001,0,.2149,1,31,.2001,0
24.01512745,server,4216596699,.1949,0,.1949,0,.2300,1,32,.1949,0
24.01613331,client,1774343153,.2001,0,.2001,0,.2201,1,32,.2001,0
24.02617864,client,1774343153,.2001,0,.2001,0,.2251,1,33,.2001,0
24.04083699,client,1774343153,.2001,0,.2001,0,.2341,1,34,.2001,0
24.05090287,client,1774343153,.2001,0,.2001,0,.2398,1,35,.2001,0
24.06107839,client,1774343153,.2001,0,.2001,0,.2453,1,37,.2001,0
24.07151227,client,1774343153,.2001,0,.2001,0,.2505,1,38,.2001,0
24.07615618,client,1774343153,.2001,0,.2001,0,.2452,1,38,.2001,0
24.15532647,server,4216614075,.2001,1,.2001,1,.2001,1,38,.2001,1
24.15536259,server,4216618419,.2001,0,.2001,0,.1937,1,36,.2001,0
24.16587568,client,1774343153,.1947,1,.1947,1,.1947,1,38,.1947,1
24.17568781,server,4216828379,.2001,0,.2001,0,.2099,1,42,.2001,0
24.18517649,server,4216915259,.2001,0,.2001,0,.2152,1,44,.2001,0
24.18583908,client,1774343153,.1947,0,.1947,0,.2100,1,44,.1947,0
24.19005640,server,4216947115,.2001,0,.2001,0,.2149,1,44,.2001,0
24.19584167,client,1774343153,.1947,0,.1947,0,.2149,1,46,.1947,0
24.20022594,server,4217023859,.2001,0,.2001,0,.2200,1,46,.2001,0
24.21115839,server,4217106395,.2001,0,.2001,0,.2259,1,47,.2001,0
24.21747989,client,1774343153,.1947,0,.1947,0,.2262,1,50,.1947,0
24.22499474,server,4217171555,.2001,0,.2001,0,.2340,1,51,.2001,0
24.22613428,client,1774343153,.1947,0,.1947,0,.2299,1,50,.1947,0
24.23510283,server,4217248299,.2001,0,.2001,0,.2399,1,51,.2001,0
