time,host,seq_num,status_data,status_new,single_ts_rtt,single_ts_rtt_new,all_ts_rtt,all_ts_rtt_new,total_state,vec_ne_zero,vec_ne_zero_new
29.47579345,server,3270543115,0.0000,0,0.0000,0,0.0000,0,3,29.4758,1
29.47935046,server,3270543115,0.0000,0,.0036,1,0.0000,0,4,29.4758,0
29.49398319,client,652432127,0.0000,0,.5586,1,0.0000,0,5,29.4939,1
29.75376842,server,3270556164,.2779,1,.2744,1,.2744,1,6,.2779,1
29.77014393,client,652432127,.2762,1,.2762,1,.2762,1,9,.2762,1
29.77388516,client,652432127,.2762,0,.2762,0,.2769,1,7,.2762,0
30.03398138,server,3270585124,.2802,1,.2802,1,.2785,1,7,.2802,1
30.03419903,server,3270611188,.2802,0,.2802,0,.2778,1,5,.2802,0
30.04911562,client,652432127,.2789,1,.2789,1,.2762,1,8,.2789,1
30.32829101,server,3270643044,.2943,1,.2943,1,.2943,1,11,.2943,1
30.32884654,server,3270687932,.2943,0,.2943,0,.2935,1,10,.2943,0
30.32904476,server,3270705308,.2943,0,.2943,0,.2928,1,8,.2943,0
30.34476892,client,652432127,.2957,1,.2957,1,.2919,1,8,.2957,1
30.35408654,client,652432127,.2957,0,.2957,0,.2934,1,9,.2957,0
30.61687104,server,3270715444,.2886,1,.2886,1,.2886,1,13,.2886,1
30.61847784,server,3270750196,.2886,0,.2886,0,.2897,1,13,.2886,0
30.63257926,client,652432127,.2878,1,.2878,1,.2878,1,19,.2878,1
30.63558711,client,652432127,.2878,0,.2878,0,.2829,1,18,.2878,0
30.64370105,client,652432127,.2878,0,.2878,0,.2866,1,18,.2878,0
30.65875610,client,652432127,.2878,0,.2878,0,.2979,1,18,.2878,0
30.65898675,client,652432127,.2878,0,.2878,0,.2794,1,16,.2878,0
30.89269879,server,3270792188,.2758,1,.2758,1,.2758,1,17,.2758,1
30.89277782,server,3270795084,.2758,0,.2758,0,.2745,1,15,.2758,0
30.90238510,server,3270826940,.2758,0,.2758,0,.2808,1,21,.2758,0
30.90564087,server,3270845764,.2758,0,.2758,0,.2809,1,24,.2758,0
30.90851973,client,652432127,.2759,1,.2759,1,.2757,1,24,.2759,1
30.91291349,client,652432127,.2759,0,.2759,0,.2759,1,21,.2759,0
30.91710455,client,652432127,.2759,0,.2759,0,.2766,1,20,.2759,0
30.92246544,client,652432127,.2759,0,.2759,0,.2781,1,17,.2759,0
30.93794995,server,3270863140,.2758,0,.2758,0,.2946,1,18,.2758,0
30.95424793,client,652432127,.2759,0,.2759,0,.2955,1,18,.2759,0
30.97702982,client,652432127,.2759,0,.2759,0,.2765,1,19,.2759,0
31.16921012,server,3270871828,.2765,1,.2765,1,.2739,1,19,.2765,1
31.17235615,server,3270890652,.2765,0,.2765,0,.2734,1,21,.2765,0
31.17692247,server,3270905132,.2765,0,.2765,0,.2745,1,24,.2765,0
31.18069334,server,3270919612,.2765,0,.2765,0,.2751,1,27,.2765,0
31.18449937,client,652432127,.2759,1,.2759,1,.2759,1,29,.2759,1
