time,host,seq_num,status_data,status_new,single_ts_rtt,single_ts_rtt_new,all_ts_rtt,all_ts_rtt_new,total_state,vec_ne_zero,vec_ne_zero_new
23.84802114,server,1089769611,0.0000,0,0.0000,0,0.0000,0,3,23.8480,1
23.85473699,server,1089769611,0.0000,0,.0067,1,0.0000,0,4,23.8480,0
23.87483989,client,323595090,0.0000,0,.7147,1,0.0000,0,6,23.8748,1
24.05994463,server,1089782660,.2119,1,.2052,1,.2049,1,5,.2119,1
24.07559586,client,323595090,.2008,1,.2008,1,.2008,1,6,.2008,1
24.26058163,server,1089811620,.2006,1,.2006,1,.2006,1,6,.2006,1
24.27758025,client,323595090,.2019,1,.2019,1,.2019,1,9,.2019,1
24.27861642,client,323595090,.2019,0,.2019,0,.2022,1,7,.2019,0
24.46289444,server,1089869540,.2023,1,.2023,1,.1999,1,6,.2023,1
24.47834561,client,323595090,.2008,1,.2008,1,.2008,1,9,.2008,1
24.48811628,client,323595090,.2008,0,.2008,0,.2073,1,9,.2008,0
24.66341070,server,1089985380,.2005,1,.2005,1,.2005,1,10,.2005,1
24.66659164,server,1090023028,.2005,0,.2005,0,.2026,1,11,.2005,0
24.67133528,server,1090098324,.2005,0,.2005,0,.2060,1,13,.2005,0
24.68087618,client,323595090,.2025,1,.2025,1,.2025,1,14,.2025,1
24.68314270,client,323595090,.2025,0,.2025,0,.2020,1,13,.2025,0
24.68762567,client,323595090,.2025,0,.2025,0,.2015,1,11,.2025,0
24.69063278,client,323595090,.2025,0,.2025,0,.2020,1,11,.2025,0
24.86604716,server,1090169276,.2026,1,.2026,1,.2026,1,12,.2026,1
24.86718229,server,1090180860,.2026,0,.2026,0,.2006,1,12,.2026,0
24.86949024,server,1090305388,.2026,0,.2026,0,.1982,1,13,.2026,0
24.87619398,server,1090445844,.2026,0,.2026,0,.2029,1,16,.2026,0
24.88136825,client,323595090,.2005,1,.2005,1,.2005,1,18,.2005,1
24.88338283,client,323595090,.2005,0,.2005,0,.2012,1,16,.2005,0
25.06657032,server,1090584852,.2005,1,.2005,1,.1994,1,21,.2005,1
25.06980673,server,1090639876,.2005,0,.2005,0,.2017,1,23,.2005,0
25.08341887,client,323595090,.2021,1,.2005,0,.2012,0,31,.2021,1
25.09965912,client,323595090,.2021,0,.2183,1,.2012,0,37,.2021,0
25.10038465,client,323595090,.2021,0,.2183,0,.2060,1,37,.2021,0
25.10339725,client,323595090,.2021,0,.2183,0,.2070,1,34,.2021,0
25.10465331,client,323595090,.2021,0,.2183,0,.2032,1,31,.2021,0
25.26843804,server,1090482044,.2018,1,.2005,0,.2017,0,33,.2018,1
25.28156697,server,1090936716,.2018,0,.2149,1,.2031,1,44,.2018,0
25.28363953,client,323595090,.2002,1,.2183,0,.2002,1,46,.2002,1
25.28468559,client,323595090,.2002,0,.2183,0,.1998,1,47,.2002,0
25.28529918,server,1090975812,.2018,0,.2149,0,.1992,1,47,.2018,0
25.29050120,client,323595090,.2002,0,.2183,0,.2024,1,49,.2002,0
25.30163889,client,323595090,.2002,0,.2019,1,.2024,0,53,.2002,0
25.31064817,client,323595090,.2002,0,.2019,0,.2103,1,53,.2002,0
25.31140069,client,323595090,.2002,0,.2019,0,.2063,1,49,.2002,0
25.46880587,server,1091093100,.2004,1,.2149,0,.2004,1,50,.2004,1
25.46971198,server,1091100340,.2004,0,.2149,0,.1994,1,50,.2004,0
25.47304061,server,1091140884,.2004,0,.2149,0,.2000,1,53,.2004,0
25.48555366,server,1091298716,.2004,0,.2039,1,.2015,1,64,.2004,0
25.48615502,client,323595090,.2025,1,.2019,0,.2025,1,64,.2025,1
25.48717188,client,323595090,.2025,0,.2019,0,.2025,1,63,.2025,0
25.48990379,client,323595090,.2025,0,.2019,0,.2017,1,61,.2025,0
25.49074002,server,1091330572,.2004,0,.2039,0,.2054,1,60,.2004,0
25.49339243,client,323595090,.2025,0,.2019,0,.2009,1,59,.2025,0
25.49573677,server,1091371116,.2004,0,.2039,0,.2056,1,58,.2004,0
25.49741095,client,323595090,.2025,0,.2019,0,.2007,1,58,.2025,0
25.49930442,server,1091455100,.2004,0,.2039,0,.2083,1,58,.2004,0
25.50267813,client,323595090,.2025,0,.2010,1,.2020,1,57,.2025,0
25.50564674,client,323595090,.2025,0,.2010,0,.2000,1,55,.2025,0
25.51165339,client,323595090,.2025,0,.2010,0,.2009,1,53,.2025,0
25.51867408,client,323595090,.2025,0,.2010,0,.2060,1,52,.2025,0
25.67116569,server,1091478268,.2023,1,.2039,0,.1998,1,53,.2023,1
25.67351915,server,1091511572,.2023,0,.2039,0,.1984,1,54,.2023,0
25.67737055,server,1091563700,.2023,0,.2039,0,.1983,1,57,.2023,0
25.68155017,server,1091615828,.2023,0,.2039,0,.1992,1,60,.2023,0
25.68510319,server,1091659268,.2023,0,.1995,1,.1986,1,63,.2023,0
