time,host,seq_num,status_data,status_new,single_ts_rtt,single_ts_rtt_new,all_ts_rtt,all_ts_rtt_new,total_state,vec_ne_zero,vec_ne_zero_new
23.45566591,server,3121910700,0.0000,0,0.0000,0,0.0000,0,3,23.4557,1
23.46008942,server,3121910700,0.0000,0,.0044,1,0.0000,0,4,23.4557,0
23.47512679,client,2453445548,0.0000,0,.0918,1,0.0000,0,5,23.4751,1
23.50326119,server,3121923749,.0476,1,.0432,1,.0432,1,6,.0476,1
23.51897642,client,2453445548,.0438,1,.0438,1,.0438,1,9,.0438,1
23.51965830,client,2453445548,.0438,0,.0438,0,.0434,1,7,.0438,0
23.54693788,server,3121952709,.0437,1,.0437,1,.0429,1,9,.0437,1
23.54796481,server,3121964293,.0437,0,.0437,0,.0426,1,9,.0437,0
23.55209316,server,3121996149,.0437,0,.0437,0,.0461,1,12,.0437,0
23.57137483,client,2453445548,.0438,0,.0438,0,.0434,0,14,.0524,1
23.59931779,server,3122010629,.0437,0,.0437,0,.0461,0,17,.0524,1
23.61494578,client,2453445548,.0436,1,.0438,0,.0434,0,22,.0436,1
23.61520629,client,2453445548,.0436,0,.0962,1,.0438,1,21,.0436,0
23.61610098,client,2453445548,.0436,0,.0962,0,.0435,1,21,.0436,0
23.61890258,client,2453445548,.0436,0,.0962,0,.0429,1,17,.0436,0
23.64301334,server,3121971533,.0437,1,.0961,1,.0437,1,17,.0437,1
23.64402155,server,3121975877,.0437,0,.0961,0,.0408,1,18,.0437,0
23.65902935,client,2453445548,.0441,1,.0438,1,.0441,1,21,.0441,1
23.65998378,client,2453445548,.0441,0,.0438,0,.0439,1,18,.0441,0
23.68696595,server,3122033797,.0439,1,.0439,1,.0429,1,20,.0439,1
23.68779921,server,3122041037,.0439,0,.0439,0,.0429,1,18,.0439,0
23.69221524,server,3122056965,.0439,0,.0439,0,.0452,1,22,.0439,0
23.70287611,client,2453445548,.0438,1,.0438,1,.0429,1,26,.0438,1
23.70796265,client,2453445548,.0438,0,.0438,0,.0436,1,24,.0438,0
23.71189653,client,2453445548,.0438,0,.0438,0,.0436,1,19,.0438,0
23.73087853,server,3122074341,.0439,1,.0439,1,.0439,1,20,.0439,1
23.73214289,server,3122080133,.0439,0,.0439,0,.0407,1,21,.0439,0
23.73582538,server,3122097509,.0439,0,.0439,0,.0397,1,23,.0439,0
23.74643861,client,2453445548,.0436,1,.0436,1,.0436,1,28,.0436,1
23.74828599,client,2453445548,.0436,0,.0436,0,.0443,1,27,.0436,0
23.75086348,client,2453445548,.0436,0,.0436,0,.0429,1,23,.0436,0
23.77444984,server,3122116333,.0436,1,.0436,1,.0424,1,24,.0436,1
23.77611444,server,3122120677,.0436,0,.0436,0,.0409,1,25,.0436,0
23.78032331,server,3122139501,.0436,0,.0436,0,.0419,1,28,.0436,0
23.78380990,server,3122153981,.0436,0,.0436,0,.0438,1,30,.0436,0
23.90184057,client,2453445548,.0436,0,.0436,0,.0429,0,33,.1554,1
23.92989848,server,3122116333,.0436,0,.0436,0,.0438,0,34,.1554,1
23.94565763,client,2453445548,.0438,1,.1992,1,.0438,1,34,.0438,1
23.97395376,server,3122117781,.0441,1,.1995,1,.0441,1,34,.0441,1
23.98973966,client,2453445548,.0441,1,.0441,1,.0441,1,34,.0441,1
24.01777559,server,3122120677,.0438,1,.0438,1,.0438,1,34,.0438,1
24.03375286,client,2453445548,.0440,1,.0440,1,.0440,1,35,.0440,1
24.06175133,server,3122126469,.0439,1,.0439,1,.0437,1,34,.0439,1
24.07761637,client,2453445548,.0439,1,.0439,1,.0439,1,35,.0439,1
24.10562912,server,3122138053,.0438,1,.0439,1,.0435,1,34,.0438,1
24.12189785,client,2453445548,.0443,1,.0443,1,.0443,1,36,.0443,1
24.14985095,server,3122162669,.0442,1,.0442,1,.0436,1,36,.0442,1
24.15187481,server,3122181493,.0442,0,.0442,0,.0449,1,37,.0442,0
24.16549969,client,2453445548,.0436,1,.0443,0,.0443,0,41,.0436,1
24.16625117,client,2453445548,.0436,0,.0444,1,.0444,1,40,.0436,0
24.16943736,client,2453445548,.0436,0,.0444,0,.0454,1,39,.0436,0
24.19346866,server,3122190181,.0436,1,.0436,1,.0434,1,37,.0436,1
24.19600226,server,3122201765,.0436,0,.0436,0,.0431,1,39,.0436,0
24.20933924,client,2453445548,.0438,1,.0431,1,.0438,1,42,.0438,1
24.21210255,client,2453445548,.0438,0,.0431,0,.0441,1,40,.0438,0
24.24180821,server,3122222037,.0483,1,.0483,1,.0465,1,38,.0483,1
24.24206122,server,3122233621,.0483,0,.0483,0,.0430,1,38,.0483,0
24.25802304,client,2453445548,.0487,1,.0487,1,.0487,1,40,.0487,1
24.25920390,client,2453445548,.0487,0,.0487,0,.0471,1,38,.0487,0
24.28596496,server,3122253893,.0441,1,.0442,1,.0439,1,40,.0441,1
24.29172889,server,3122277061,.0441,0,.0442,0,.0479,1,44,.0441,0
24.30186564,client,2453445548,.0438,1,.0487,0,.0856,1,45,.0438,1
24.30304574,client,2453445548,.0438,0,.0450,1,.0450,1,43,.0438,0
24.30439424,client,2453445548,.0438,0,.0450,0,.0445,1,41,.0438,0
24.30791354,client,2453445548,.0438,0,.0450,0,.0441,1,40,.0438,0
24.32990831,server,3122282853,.0439,1,.0439,1,.0428,1,40,.0439,1
24.33249165,server,3122294437,.0439,0,.0439,0,.0423,1,41,.0439,0
