time,host,seq_num,status_data,status_new,single_ts_rtt,single_ts_rtt_new,all_ts_rtt,all_ts_rtt_new,total_state,vec_ne_zero,vec_ne_zero_new
24.44770054,server,2675990407,0.0000,0,0.0000,0,0.0000,0,4,24.4477,1
24.45115112,server,2675990407,0.0000,0,.0035,1,0.0000,0,5,24.4477,0
24.45178531,client,2087882273,0.0000,0,1.5259,1,0.0000,0,6,24.4518,1
24.71293138,server,2676003456,.2652,1,.2618,1,.2618,1,6,.2652,1
24.71357501,client,2087882273,.2618,1,.2618,1,.2618,1,6,.2618,1
24.97435014,server,2676032416,.2614,1,.2614,1,.2614,1,6,.2614,1
24.97483291,client,2087882273,.2613,1,.2613,1,.2613,1,6,.2613,1
25.23569599,server,2676090336,.2613,1,.2613,1,.2613,1,6,.2613,1
25.23667115,client,2087882273,.2618,1,.2618,1,.2618,1,6,.2618,1
25.49744856,server,2676206176,.2617,1,.2618,1,.2618,1,7,.2617,1
25.49940903,client,2087882273,.2627,1,.2627,1,.2623,1,6,.2627,1
25.76063408,server,2676437856,.2632,1,.2632,1,.2632,1,9,.2632,1
25.76101957,client,2087882273,.2616,1,.2616,1,.2616,1,9,.2616,1
25.76752175,client,2087882273,.2616,0,.2616,0,.2621,1,10,.2616,0
25.76784297,client,2087882273,.2616,0,.2616,0,.2617,1,9,.2616,0
25.77072185,client,2087882273,.2616,0,.2616,0,.2610,1,10,.2616,0
26.02183481,server,2676854880,.2612,1,.2612,1,.2612,1,10,.2612,1
26.02265128,client,2087882273,.2616,1,.2616,1,.2616,1,10,.2616,1
26.02832424,server,2676951896,.2612,0,.2612,0,.2608,1,10,.2612,0
26.02893262,client,2087882273,.2616,0,.2616,0,.2614,1,10,.2616,0
26.03149281,server,2677324032,.2612,0,.2612,0,.2611,1,11,.2612,0
26.03482372,client,2087882273,.2616,0,.2616,0,.2655,1,9,.2616,0
26.28342911,server,2677735264,.2616,1,.2616,1,.2616,1,10,.2616,1
26.28514639,client,2087882273,.2625,1,.2625,1,.2625,1,10,.2625,1
26.28970233,server,2677927848,.2616,0,.2616,0,.2584,1,10,.2616,0
26.30930343,client,2087882273,.2625,0,.2625,0,.2804,1,15,.2625,0
26.54598045,server,2679255648,.2625,1,.2626,1,.2626,1,19,.2625,1
26.54757026,client,2087882273,.2624,1,.2625,0,.2804,0,20,.2624,1
26.56925779,server,2679678480,.2625,0,.2626,0,.2796,1,22,.2625,0
26.57114156,server,2679900024,.2625,0,.2626,0,.2806,1,23,.2625,0
26.57749792,client,2087882273,.2624,0,.2924,1,.2804,0,28,.2624,0
26.57908449,client,2087882273,.2624,0,.2924,0,.2611,1,27,.2624,0
26.58707959,client,2087882273,.2624,0,.2924,0,.2613,1,28,.2624,0
26.80835911,server,2678301432,.2623,1,.2626,0,.2806,0,29,.2623,1
26.80880813,client,2087882273,.2612,1,.2924,0,.2612,1,29,.2612,1
26.81108378,client,2087882273,.2612,0,.2924,0,.2624,1,29,.2612,0
26.83149125,client,2087882273,.2612,0,.2924,0,.2613,1,30,.2612,0
26.83554384,client,2087882273,.2612,0,.2924,0,.2624,1,31,.2612,0
26.83837612,server,2680500944,.2623,0,.2924,1,.2586,1,33,.2623,0
26.83995698,client,2087882273,.2612,0,.2625,1,.2625,1,32,.2612,0
26.84788428,server,2680797784,.2623,0,.2924,0,.2608,1,34,.2623,0
26.84846562,client,2087882273,.2612,0,.2625,0,.2614,1,35,.2612,0
27.07059621,server,2680845568,.2622,1,.2924,0,.2587,1,34,.2622,1
27.07149526,client,2087882273,.2627,1,.2625,0,.2627,1,34,.2627,1
