time,host,seq_num,status_data,status_new,single_ts_rtt,single_ts_rtt_new,all_ts_rtt,all_ts_rtt_new,total_state,vec_ne_zero,vec_ne_zero_new
23.01700301,server,4024641033,0.0000,0,0.0000,0,0.0000,0,3,23.0170,1
23.02136276,server,4024641033,0.0000,0,.0044,1,0.0000,0,4,23.0170,0
23.03444589,client,2535308102,0.0000,0,.0667,1,0.0000,0,5,23.0344,1
23.05032396,server,4024654082,.0333,1,.0289,1,.0289,1,5,.0333,1
23.06341569,client,2535308102,.0289,1,.0289,1,.0289,1,6,.0289,1
23.07927102,server,4024683042,.0289,1,.0289,1,.0289,1,7,.0289,1
23.07973635,server,4024694626,.0289,0,.0289,0,.0283,1,5,.0289,0
23.09243838,client,2535308102,.0290,1,.0290,1,.0285,1,7,.0290,1
23.10831274,server,4024740962,.0290,1,.0290,1,.0278,1,7,.0290,1
23.11160276,server,4024793090,.0290,0,.0290,0,.0303,1,9,.0290,0
23.12095043,client,2535308102,.0285,1,.0285,1,.0285,1,10,.0285,1
23.12748138,client,2535308102,.0285,0,.0285,0,.0318,1,8,.0285,0
23.13685433,server,4024856802,.0285,1,.0285,1,.0276,1,10,.0285,1
23.14184701,server,4024877074,.0285,0,.0285,0,.0304,1,11,.0285,0
23.14472631,server,4024962506,.0285,0,.0285,0,.0325,1,12,.0285,0
23.15143552,client,2535308102,.0305,1,.0305,1,.0305,1,15,.0305,1
23.15469440,client,2535308102,.0305,0,.0305,0,.0287,1,14,.0305,0
23.16042994,client,2535308102,.0305,0,.0305,0,.0315,1,15,.0305,0
23.16740753,server,4025088482,.0304,1,.0306,1,.0306,1,17,.0304,1
23.16850805,server,4025100066,.0304,0,.0306,0,.0267,1,17,.0304,0
23.17182490,server,4025143506,.0304,0,.0306,0,.0285,1,18,.0304,0
23.17593757,server,4025247762,.0304,0,.0306,0,.0317,1,21,.0304,0
23.18054772,server,4025344778,.0304,0,.0306,0,.0351,1,23,.0304,0
23.18117509,client,2535308102,.0297,1,.0305,0,.0315,0,24,.0297,1
23.19714054,server,4025046490,.0294,1,.0306,0,.0351,0,31,.0294,1
23.20493528,client,2535308102,.0297,0,.0535,1,.0377,1,40,.0297,0
23.21044784,client,2535308102,.0293,1,.0535,0,.0377,0,45,.0293,1
23.22090588,server,4025404146,.0294,0,.0535,1,.0378,1,52,.0294,0
23.22633110,server,4025034906,.0291,1,.0535,0,.0378,0,54,.0291,1
23.23843022,client,2535308102,.0279,1,.0335,1,.0279,1,59,.0279,1
23.24069009,client,2535308102,.0279,0,.0335,0,.0289,1,59,.0279,0
23.25454777,server,4025550410,.0282,1,.0336,1,.0282,1,57,.0282,1
23.25649408,server,4025777730,.0282,0,.0336,0,.0273,1,57,.0282,0
23.26793894,client,2535308102,.0295,1,.0295,1,.0295,1,59,.0295,1
23.28383408,server,4025835650,.0292,1,.0293,1,.0293,1,61,.0292,1
23.29643016,client,2535308102,.0285,1,.0295,0,.0295,0,72,.0285,1
23.30672778,client,2535308102,.0285,0,.0388,1,.0295,0,74,.0285,0
23.31233545,server,4025686506,.0284,1,.0293,0,.0293,0,76,.0284,1
23.31991536,server,4025763250,.0284,0,.0361,1,.0277,1,80,.0284,0
23.32328745,server,4025819722,.0284,0,.0361,0,.0302,1,83,.0284,0
23.32495737,client,2535308102,.0285,1,.0388,0,.0285,1,84,.0285,1
23.32796239,client,2535308102,.0285,0,.0388,0,.0287,1,84,.0285,0
23.33321200,client,2535308102,.0285,0,.0265,1,.0292,1,81,.0285,0
23.33745666,client,2535308102,.0285,0,.0265,0,.0299,1,78,.0285,0
23.34101957,server,4025968866,.0287,1,.0361,0,.0287,1,78,.0287,1
23.34384026,server,4025976106,.0287,0,.0361,0,.0263,1,78,.0287,0
23.34799245,server,4026022442,.0287,0,.0281,1,.0274,1,81,.0287,0
23.35181459,server,4026096290,.0287,0,.0281,0,.0269,1,84,.0287,0
23.35368822,client,2535308102,.0287,1,.0265,0,.0287,1,86,.0287,1
23.35695152,client,2535308102,.0287,0,.0265,0,.0289,1,88,.0287,0
23.36171972,client,2535308102,.0287,0,.0285,1,.0295,1,85,.0287,0
23.36957483,server,4026167242,.0285,1,.0281,0,.0286,1,84,.0285,1
23.37285216,server,4026170138,.0285,0,.0281,0,.0267,1,84,.0285,0
23.37393848,client,2535308102,.0287,0,.0285,0,.0379,1,84,.0287,0
23.37580167,server,4026191858,.0285,0,.0278,1,.0287,1,82,.0285,0
23.37721804,client,2535308102,.0287,0,.0285,0,.0375,1,83,.0287,0
23.37972418,server,4026235298,.0285,0,.0278,0,.0294,1,85,.0285,0
23.38242560,client,2535308102,.0287,1,.0285,0,.0287,1,87,.0287,1
23.38593381,client,2535308102,.0287,0,.0285,0,.0305,1,87,.0287,0
23.38847251,client,2535308102,.0287,0,.0268,1,.0285,1,87,.0287,0
23.38925595,server,4026294666,.0285,0,.0278,0,.0349,1,87,.0285,0
23.39270528,client,2535308102,.0287,0,.0268,0,.0290,1,86,.0287,0
23.39313166,server,4026352586,.0285,0,.0278,0,.0376,1,86,.0285,0
23.39829535,server,4026365618,.0287,1,.0278,0,.0287,1,86,.0287,1
23.40198950,server,4026369962,.0287,0,.0278,0,.0291,1,87,.0287,0
23.40270858,client,2535308102,.0287,0,.0268,0,.0293,1,85,.0287,0
23.40377384,server,4026374306,.0287,0,.0279,1,.0265,1,86,.0287,0
23.40785813,server,4026406162,.0287,0,.0279,0,.0276,1,88,.0287,0
23.40797112,client,2535308102,.0287,0,.0268,0,.0308,1,88,.0287,0
23.41043195,client,2535308102,.0280,1,.0268,0,.0280,1,88,.0280,1
23.41151342,server,4026459738,.0287,0,.0279,0,.0293,1,90,.0287,0
23.41443419,client,2535308102,.0280,0,.0268,0,.0285,1,89,.0280,0
23.41606971,server,4026466978,.0287,0,.0279,0,.0268,1,89,.0287,0
23.41670813,client,2535308102,.0280,0,.0282,1,.0288,1,89,.0280,0
23.41952912,server,4026495938,.0287,0,.0279,0,.0283,1,90,.0287,0
23.42068195,client,2535308102,.0280,0,.0282,0,.0287,1,89,.0280,0
23.42381328,server,4026546618,.0287,0,.0279,0,.0255,1,91,.0287,0
23.42594745,client,2535308102,.0280,0,.0282,0,.0303,1,90,.0280,0
23.42848082,client,2535308102,.0280,0,.0282,0,.0283,1,90,.0280,0
23.43032377,server,4026566890,.0319,1,.0279,0,.0283,1,90,.0319,1
23.43268747,server,4026574130,.0319,0,.0289,1,.0272,1,90,.0319,0
23.43270357,client,2535308102,.0280,0,.0282,0,.0289,1,88,.0280,0
23.43558023,server,4026592954,.0319,0,.0289,0,.0274,1,89,.0319,0
23.43820460,client,2535308102,.0280,0,.0282,0,.0302,1,88,.0280,0
23.44100076,server,4026633498,.0319,0,.0289,0,.0295,1,91,.0319,0
23.44296814,client,2535308102,.0325,1,.0282,0,.0318,1,90,.0325,1
23.44429223,server,4026662458,.0319,0,.0289,0,.0266,1,90,.0319,0
23.44547401,client,2535308102,.0325,0,.0288,1,.0288,1,91,.0325,0
23.44824948,server,4026684178,.0319,0,.0289,0,.0272,1,92,.0319,0
23.44846530,client,2535308102,.0325,0,.0288,0,.0288,1,91,.0325,0
23.45136085,server,4026713138,.0319,0,.0289,0,.0281,1,90,.0319,0
23.45369179,client,2535308102,.0325,0,.0288,0,.0293,1,89,.0325,0
23.45480381,server,4026756578,.0319,0,.0289,0,.0245,1,90,.0319,0
23.45823047,client,2535308102,.0325,0,.0288,0,.0297,1,89,.0325,0
23.45882775,server,4026763818,.0283,1,.0289,0,.0245,0,89,.0283,1
23.46122789,client,2535308102,.0325,0,.0288,0,.0293,1,88,.0325,0
23.46136068,server,4026771058,.0283,0,.0287,1,.0276,1,88,.0283,0
23.46377752,server,4026785538,.0283,0,.0287,0,.0260,1,89,.0283,0
23.46469772,client,2535308102,.0325,0,.0288,0,.0292,1,89,.0325,0
23.46750115,server,4026821738,.0283,0,.0287,0,.0260,1,91,.0283,0
23.47146059,client,2535308102,.0285,1,.0288,0,.0292,0,94,.0285,1
23.47150788,server,4026840562,.0283,0,.0287,0,.0262,1,94,.0283,0
23.47471049,client,2535308102,.0285,0,.0292,1,.0292,1,94,.0285,0
23.47583587,server,4026876762,.0283,0,.0287,0,.0258,1,93,.0283,0
23.47669398,client,2535308102,.0285,0,.0292,0,.0295,1,93,.0285,0
23.47968655,server,4026905722,.0283,0,.0287,0,.0269,1,92,.0283,0
23.48120912,client,2535308102,.0285,0,.0292,0,.0295,1,92,.0285,0
23.48324125,server,4026941922,.0283,0,.0287,0,.0292,1,92,.0283,0
23.48369031,client,2535308102,.0285,0,.0292,0,.0280,1,92,.0285,0
23.48731321,server,4026966538,.0283,1,.0259,1,.0250,1,91,.0283,1
23.48944943,client,2535308102,.0285,0,.0292,0,.0295,1,90,.0285,0
23.49194284,client,2535308102,.0285,0,.0292,0,.0282,1,90,.0285,0
23.49252863,server,4026985362,.0283,0,.0259,0,.0270,1,90,.0283,0
23.49557635,server,4027014322,.0283,0,.0259,0,.0261,1,90,.0283,0
23.49746065,client,2535308102,.0285,0,.0292,0,.0300,1,90,.0285,0
23.49956323,server,4027038938,.0283,0,.0259,0,.0267,1,91,.0283,0
23.49973904,client,2535308102,.0283,1,.0250,1,.0283,1,91,.0283,1
23.50373399,server,4027066450,.0283,0,.0259,0,.0267,1,92,.0283,0
23.50595924,client,2535308102,.0283,0,.0250,0,.0295,1,94,.0283,0
23.50774790,server,4027096858,.0283,0,.0259,0,.0260,1,94,.0283,0
23.51048526,client,2535308102,.0283,0,.0250,0,.0307,1,94,.0283,0
23.51174059,server,4027124370,.0283,0,.0259,0,.0285,1,92,.0283,0
23.51247118,client,2535308102,.0283,0,.0250,0,.0288,1,92,.0283,0
23.51744330,client,2535308102,.0283,0,.0250,0,.0297,1,92,.0283,0
23.51967342,server,4027169258,.0323,1,.0324,1,.0291,1,91,.0323,1
23.52006599,server,4027176498,.0323,0,.0324,0,.0266,1,89,.0323,0
23.52171877,client,2535308102,.0283,0,.0250,0,.0300,1,88,.0283,0
23.52371368,client,2535308102,.0283,0,.0250,0,.0278,1,88,.0283,0
23.52565888,server,4027198218,.0323,0,.0324,0,.0279,1,88,.0323,0
23.52777728,server,4027234418,.0323,0,.0324,0,.0259,1,89,.0323,0
23.53180136,server,4027253242,.0323,0,.0324,0,.0266,1,91,.0323,0
23.53244078,client,2535308102,.0327,1,.0327,1,.0285,1,91,.0327,1
23.53504105,server,4027285098,.0323,0,.0324,0,.0255,1,92,.0323,0
23.53869996,client,2535308102,.0327,0,.0327,0,.0303,1,93,.0327,0
23.53948285,server,4027312610,.0323,0,.0324,0,.0282,1,94,.0323,0
23.54148863,client,2535308102,.0327,0,.0327,0,.0295,1,93,.0327,0
23.54407635,server,4027357498,.0323,0,.0324,0,.0295,1,95,.0323,0
