time,host,seq_num,status_data,status_new,single_ts_rtt,single_ts_rtt_new,all_ts_rtt,all_ts_rtt_new,total_state,vec_ne_zero,vec_ne_zero_new
25.48941217,server,3484908757,0.0000,0,0.0000,0,0.0000,0,3,25.4894,1
25.49151808,server,3484908757,0.0000,0,.0021,1,0.0000,0,4,25.4894,0
25.50372982,client,2521022458,0.0000,0,.5632,1,0.0000,0,5,25.5037,1
25.77344201,server,3484921806,.2840,1,.2819,1,.2819,1,6,.2840,1
25.78390166,client,2521022458,.2802,1,.2802,1,.2802,1,8,.2802,1
25.79708692,client,2521022458,.2802,0,.2802,0,.2895,1,7,.2802,0
26.05512381,server,3484950766,.2817,1,.2817,1,.2817,1,7,.2817,1
26.06295361,client,2521022458,.2791,1,.2791,1,.2791,1,7,.2791,1
26.06573185,server,3484959454,.2817,0,.2817,0,.2885,1,7,.2817,0
26.07276962,client,2521022458,.2791,0,.2791,0,.2776,1,8,.2791,0
26.33269100,server,3485008686,.2775,1,.2776,1,.2776,1,10,.2775,1
26.33914575,client,2521022458,.2762,1,.2762,1,.2762,1,11,.2762,1
26.34255506,server,3485026062,.2775,0,.2776,0,.2768,1,11,.2775,0
26.34748539,server,3485055022,.2775,0,.2776,0,.2801,1,11,.2775,0
26.35236032,client,2521022458,.2762,0,.2762,0,.2796,1,13,.2762,0
26.35904852,client,2521022458,.2762,0,.2762,0,.2812,1,15,.2762,0
26.36921842,client,2521022458,.2762,0,.2762,0,.2885,1,16,.2762,0
26.60894401,server,3485124526,.2762,1,.2763,1,.2762,1,17,.2762,1
26.61812481,client,2521022458,.2789,1,.2789,1,.2787,1,16,.2789,1
26.62203181,server,3485159278,.2762,0,.2763,0,.2795,1,16,.2762,0
26.62614893,server,3485192582,.2762,0,.2763,0,.2787,1,16,.2762,0
26.63135268,client,2521022458,.2789,0,.2789,0,.2789,1,17,.2789,0
26.63167838,server,3485243262,.2762,0,.2763,0,.2838,1,17,.2762,0
26.63760646,client,2521022458,.2789,0,.2789,0,.2828,1,19,.2789,0
26.63762279,client,2521022458,.2789,0,.2789,0,.2811,1,17,.2789,0
26.63901669,server,3485302630,.2762,0,.2763,0,.2886,1,17,.2762,0
26.65969082,client,2521022458,.2789,0,.2789,0,.2977,1,20,.2789,0
26.68143857,client,2521022458,.2789,0,.2789,0,.3122,1,22,.2789,0
26.69283728,client,2521022458,.2789,0,.2789,0,.3184,1,23,.2789,0
26.89064118,server,3485356206,.2817,1,.2817,1,.2817,1,24,.2817,1
26.89654022,client,2521022458,.2784,1,.2784,1,.2784,1,24,.2784,1
26.90102051,server,3485425710,.2817,0,.2817,0,.2789,1,24,.2817,0
26.90738292,server,3485485078,.2817,0,.2817,0,.2812,1,27,.2817,0
26.91780369,server,3485527070,.2817,0,.2817,0,.2891,1,29,.2817,0
26.92489129,client,2521022458,.2784,0,.2784,0,.2935,1,30,.2784,0
26.92936242,server,3485566166,.2817,0,.2817,0,.2976,1,30,.2817,0
26.93736611,client,2521022458,.2784,0,.2784,0,.3032,1,30,.2784,0
26.94388212,client,2521022458,.2784,0,.2784,0,.3063,1,32,.2784,0
26.95109814,server,3485699382,.2817,0,.2817,0,.3121,1,33,.2817,0
26.95335431,client,2521022458,.2784,0,.2784,0,.3110,1,32,.2784,0
26.96250489,server,3485751510,.2817,0,.2817,0,.3184,1,32,.2817,0
26.96326376,client,2521022458,.2784,0,.2784,0,.3151,1,33,.2784,0
26.96886585,client,2521022458,.2784,0,.2784,0,.3089,1,33,.2784,0
27.00282263,client,2521022458,.2784,0,.2784,0,.3364,1,38,.2784,0
27.01470463,client,2521022458,.2784,0,.2784,0,.3412,1,39,.2784,0
27.01763721,client,2521022458,.2784,0,.2784,0,.3359,1,39,.2784,0
27.03206899,client,2521022458,.2784,0,.2784,0,.3392,1,41,.2784,0
27.05559455,client,2521022458,.2784,0,.2784,0,.3547,1,45,.2784,0
27.16629140,server,3485819566,.2756,1,.2757,1,.2757,1,47,.2756,1
27.17256999,client,2521022458,.2760,1,.2760,1,.2760,1,48,.2760,1
